hdi_rank,country,hdi,phdi,pct_diff_hdi,rank_diff_hdi,adj_factor,tco2_per_capita_prod,co2_emissions_index,material_footprint_per_capita,material_footprint_index,iso3c
1,Switzerland,0.967,0.8259999999999998,14.581178903826263,-6,0.8538562040170621,4.117550141,0.9462530982769873,33.5913,0.7614593097571368,CHE
2,Norway,0.966,0.808,16.35610766045548,-12,0.8367677260268733,7.573540802,0.9011416159509201,32.0515,0.7723938361028263,NOR
3,Iceland,0.959,0.806,15.954118873826896,-14,0.8406862498099491,9.478175166,0.8762801831875734,27.4469,0.8050923164323249,ISL
4,"Hong Kong, China (SAR)",0.956,NA,NA,NA,NA,4.373241562,0.9429155258843491,NA,NA,HKG
5,Denmark,0.952,0.8389999999999999,11.869747899159666,2,0.8809496151653661,5.057582197,0.9339827411956666,24.2328,0.8279164891350661,DNK
5,Sweden,0.952,0.8389999999999999,11.869747899159666,2,0.8812502028359683,3.680562051,0.9519571589740243,26.6793,0.8105432466979121,SWE
7,Germany,0.95,0.8329999999999999,12.315789473684212,1,0.8763569235404065,8.138240832999998,0.8937705151677326,19.8636,0.8589433319130804,DEU
7,Ireland,0.95,0.8139999999999998,14.315789473684216,-4,0.8573091673090869,7.529751173,0.9017132075055475,26.3467,0.812905127112626,IRL
9,Singapore,0.949,0.745,21.496311907270805,-38,0.7854541336321833,9.397481258,0.8773334909541836,43.1508,0.6935747763101832,SGP
10,Australia,0.946,0.763,19.3446088794926,-29,0.8070588661656812,14.91476303,0.8053157155723795,26.9245,0.808802016758983,AUS
10,Netherlands,0.946,0.796,15.856236786469337,-12,0.8419541350012579,7.99391099,0.8956544708262627,29.8181,0.7882537991762535,NLD
12,Belgium,0.942,0.803,14.755838641188944,-8,0.8519705939945312,8.23913942,0.8924534731758255,26.5463,0.8114877148132368,BEL
12,Finland,0.942,0.787,16.454352441613583,-12,0.835015909192977,6.854598056,0.9105260663620935,33.8664,0.7595057520238602,FIN
12,Liechtenstein,0.942,NA,NA,NA,NA,3.736776044,0.9512233906278553,NA,NA,LIE
15,United Kingdom,0.94,0.8459999999999999,9.999999999999998,12,0.9000700660411038,5.164383683,0.9325886479180264,18.6514,0.8675514841641812,GBR
16,New Zealand,0.939,0.8139999999999998,13.312034078807244,4,0.8668828641400599,6.690024635,0.9126742639994777,25.1939,0.821091464280642,NZL
17,United Arab Emirates,0.937,0.688,26.57417289220919,-58,0.7346636180150734,25.33327567,0.6693215550189271,28.1632,0.8000056810112198,ARE
